year,temperature
1850,291.84818
1851,294.5077
1852,294.49203
1853,292.7565
1854,294.3377
1855,293.9415
1856,293.62598
1857,294.49307
1858,294.45044
1859,294.56622
1860,294.5343
1861,295.54327
1862,294.3603
1863,293.96622
1864,294.27112
1865,295.04535
1866,296.63354
1867,297.30167
1868,293.64105
1869,295.30872
1870,294.67572
1871,293.4078
1872,296.02246
1873,295.49237
1874,295.8615
1875,295.3068
1876,292.65796
1877,293.81863
1878,294.73267
1879,293.22525
1880,295.41644
1881,295.28302
1882,295.85052
1883,294.21594
1884,295.30258
1885,293.8478
1886,293.76138
1887,294.08215
1888,294.09265
1889,293.5803
1890,294.2291
1891,293.87897
1892,294.89154
1893,291.2057
1894,293.002
1895,295.36975
1896,293.62875
1897,295.63022
1898,293.165
1899,293.72583
1900,293.71085
1901,295.22525
1902,294.9434
1903,293.14224
1904,295.39224
1905,294.63052
1906,294.16754
1907,293.3254
1908,293.39764
1909,297.55225
1910,294.49194
1911,294.74744
1912,292.25742
1913,293.1901
1914,294.79047
1915,295.65546
1916,292.54922
1917,294.0223
1918,292.58087
1919,293.22766
1920,293.55936
1921,295.49762
1922,294.7832
1923,292.945
1924,297.0966
1925,294.96426
1926,294.4862
1927,296.4912
1928,294.4651
1929,295.4178
1930,293.05792
1931,295.18945
1932,295.0588
1933,295.1633
1934,295.0331
1935,294.35727
1936,295.39136
1937,294.92715
1938,294.05634
1939,294.50305
1940,296.98056
1941,292.8162
1942,294.93506
1943,292.6202
1944,292.47165
1945,294.18683
1946,293.7716
1947,293.9917
1948,292.81317
1949,293.578
1950,293.84003
1951,295.83813
1952,293.9267
1953,296.38513
1954,292.9207
1955,293.3012
1956,295.19455
1957,293.95273
1958,293.28464
1959,293.1446
1960,295.0219
1961,295.16183
1962,293.48135
1963,293.51407
1964,294.7723
1965,294.8462
1966,294.64926
1967,293.8728
1968,293.19647
1969,296.77243
1970,293.64517
1971,293.37396
1972,293.8645
1973,294.58896
1974,293.8386
1975,293.7277
1976,294.08878
1977,293.84946
1978,294.33478
1979,293.7123
1980,292.99265
1981,294.6071
1982,294.72333
1983,293.537
1984,294.10986
1985,294.05765
1986,295.89673
1987,293.30768
1988,294.68338
1989,294.85013
1990,296.40488
1991,293.47226
1992,293.9925
1993,294.2213
1994,293.87027
1995,294.03293
1996,292.68686
1997,293.6307
1998,297.20908
1999,294.07455
2000,293.40582
2001,294.37274
2002,294.73972
2003,295.6105
2004,294.38144
2005,293.74347
2006,296.2122
2007,294.9629
2008,295.16907
2009,293.9926
2010,294.48135
2011,295.74713
2012,293.53177
2013,293.94318
2014,295.59265
